Tweet,Publication Date
"In 2019, investments from 135 #impactbonds led to jobs, better health, education, social welfare &amp; justice in 28 countries. Here’s our take on #SocialimpactBonds to achieve the #SDGs &amp; save the 🦏. https://t.co/YllPnDhKZm",Mon Apr 08 07:00:15 +0000 2019
Lebanon’s primordial cedar forests are disappearing &amp; @UNDP_Lebanon has developed a #fintech approach to #AdoptaTree🌲 using #cedarcoin cryptocurrency. #Climate4All https://t.co/9DbFqLPLbf,Mon Apr 08 05:10:03 +0000 2019
"👉2.2M people currently on #HIV treatment.
👉72M cases of #malaria treated.
👉870,000 cases of #TB detected &amp; put on treatment. 
We're ⬆️ #Health4All in 53 countries w/ funding from @GlobalFund.
👉https://t.co/OPcmxpvmCy  
#WorldHealthDay https://t.co/8pOsdCQCt6",Mon Apr 08 03:00:00 +0000 2019
Our Goodwill Ambassador @nikolajcw recently traveled to #Rwanda🇷🇼 to commemorate the nation’s transformative journey to peace. #Kwibuka25 #PreventGenocide https://t.co/wjX319GGUF,Mon Apr 08 02:00:22 +0000 2019
#Turkmenistan recently launched the nation's 1st integrated curriculum. It offers equal access to learning &amp; #tradeskills for students of all abilities.  @UNDPTM is supporting this #Youth2030 initiative: https://t.co/xo957iO3nL https://t.co/Cb0RJ1ezVX,Mon Apr 08 02:00:00 +0000 2019
17-year-old Sevinch learned to code when she was 12. She &amp; her sister developed an app which provides info &amp; details about healthcare to families of children diagnosed w/ Down Syndrome. Meet the teens behind Uzbekistan’s tech revolution. #WorldHealthDay https://t.co/1J17Z7lP1T,Mon Apr 08 00:00:27 +0000 2019
"Worldwide, 5.6 million people die annually from non-communicable disease caused by air pollution. #Cleanenergy, #GreenGrowth, &amp; #ClimateAction are good for our health, the environment and our economy. 

#WorldHealthDay #Health4All https://t.co/Gvbjpyxu2s",Mon Apr 08 00:00:00 +0000 2019
"Tikrit hospital once served 2 million patients every year. @undpiniraq &amp; @IraqiGovt are currently rebuilding the largest medical center in Tikrit after the city was liberated from ISIS. #WorldHealthDay 
#BuildPeace #IraqStabilization https://t.co/9y545dYF4O",Sun Apr 07 22:00:00 +0000 2019
"In just eight years, Rwanda has quadrupled the number of people with electricity &amp; ⏫ its rate of electrification from 11% in 2011 to 43% now. Reducing risks to unlock private #FinTech investments is 🔑 to this transformation. #Kwibuka25
https://t.co/qHHinHiuVa",Sun Apr 07 20:05:06 +0000 2019
"Happiness as a measure of good health? 

Our Chief @ASteiner talks to @WEF about #humandevelopment, #SDGs &amp; Bhutan's #GrossNationalHappiness Index.
#WorldHealthDay #Health4All https://t.co/RKlkz4h5w2",Sun Apr 07 18:00:00 +0000 2019
"Worldwide, 1.3 billion people live in #multidimensionalpoverty today.
The #SDGs are a blueprint to achieve universal #Health4All and a more just, equal and peaceful world: https://t.co/OVj3VAxFQi
#WorldHealthDay https://t.co/IrGyNPbm42",Sun Apr 07 16:00:01 +0000 2019
"Rwanda has achieved rapid transformation 25 years after the genocide against the Tutsi.
✔️ Poverty rates have ⏬ 5% in recent years
✔️ GDP ⏫ from 2001 to 2014 
Visit the nation's 1st green village to see #greengrowth in action.
https://t.co/ZKS80sySEi
#Kwibuka25",Sun Apr 07 15:05:09 +0000 2019
"✔️ 🌞 ⚡ #Solarpower for 55 health clinics.
✔️ 🚰, education, &amp; better roads for +2.3 million people. 
✔️ 4,000 ha of farmland restored = better nutrition for +220,000 people.
 
@UNDPYemen works for #Health4All in Yemen.
#WorldHealthDay https://t.co/JjVBP9fVuK",Sun Apr 07 13:37:46 +0000 2019
"RT @PNUDLAC: When people think that their countries are governed in the interest of a few powerful groups, how do they feel about paying ta…",Sun Apr 07 12:53:41 +0000 2019
RT @UN: Unsafe &amp; low-quality health care ruins lives &amp; costs the world trillions of dollars every year. Health is a human right. It's time…,Sun Apr 07 11:36:26 +0000 2019
"Mauritania is working hard to prevent radicalization. Our youth centers, funded by #JapanAid, are at the ❤️ of this #EndExtremism movement which counters violence by offering education &amp; a #leavenoonebehind approach to community building. #Youth2030 https://t.co/PqC7v4h83z",Sun Apr 07 10:00:15 +0000 2019
"💡⚡️for surgeries, maternity wards, storing vaccines.
Our #Solar4Health work financed by @GlobalFund ensures #Health4All using #greenenergy in off grid communities. Here are 5 ways #solarpower can make universal healthcare a reality. #WorldHealthDay https://t.co/DtjPLbq9rE",Sun Apr 07 08:00:10 +0000 2019
"Without🚰 in school, teachers had to travel 5 km to the nearest well to gather💧 everyday in this part of 🇺🇿. A #Health4All transformation has changed lives thanks to our potable water system funded by @europeaid#WorldHealthDay https://t.co/UHjMg8z5ta",Sun Apr 07 06:00:16 +0000 2019
